Labels,T7 data_Nov 2018,
376.00,6.14855997E-3,
377.00,6.30991580E-3,
378.00,6.47345558E-3,
379.00,6.63914718E-3,
380.00,6.80695847E-3,
381.00,6.97687967E-3,
382.00,7.14898948E-3,
383.00,7.32338615E-3,
384.00,7.50016840E-3,
385.00,7.67943403E-3,
386.00,7.86128175E-3,
387.00,8.04580841E-3,
388.00,8.23311321E-3,
389.00,8.42329394E-3,
390.00,8.61644652E-3,
391.00,8.81268829E-3,
392.00,9.01219528E-3,
393.00,9.21516214E-3,
394.00,9.42178443E-3,
395.00,9.63225774E-3,
396.00,9.84677486E-3,
397.00,1.00655332E-2,
398.00,1.02887265E-2,
399.00,1.05165532E-2,
400.00,1.07492078E-2,
401.00,1.09868580E-2,
402.00,1.12295616E-2,
403.00,1.14773428E-2,
404.00,1.17302323E-2,
405.00,1.19882552E-2,
406.00,1.22514395E-2,
407.00,1.25198131E-2,
408.00,1.27934031E-2,
409.00,1.30722364E-2,
410.00,1.33563420E-2,
411.00,1.36457458E-2,
412.00,1.39405038E-2,
413.00,1.42406598E-2,
414.00,1.45462723E-2,
415.00,1.48573946E-2,
416.00,1.51740825E-2,
417.00,1.54963871E-2,
418.00,1.58243608E-2,
419.00,1.61580630E-2,
420.00,1.64975468E-2,
421.00,1.68428384E-2,
422.00,1.71938594E-2,
423.00,1.75504945E-2,
424.00,1.79126393E-2,
425.00,1.82801802E-2,
426.00,1.86530109E-2,
427.00,1.90310124E-2,
428.00,1.94140859E-2,
429.00,1.98021196E-2,
430.00,2.01949943E-2,
431.00,2.05926299E-2,
432.00,2.09950078E-2,
433.00,2.14021467E-2,
434.00,2.18140483E-2,
435.00,2.22307239E-2,
436.00,2.26521790E-2,
437.00,2.30784286E-2,
438.00,2.35094745E-2,
439.00,2.39453278E-2,
440.00,2.43859980E-2,
441.00,2.48315148E-2,
442.00,2.52819732E-2,
443.00,2.57375073E-2,
444.00,2.61982288E-2,
445.00,2.66642720E-2,
446.00,2.71357540E-2,
447.00,2.76127979E-2,
448.00,2.80955322E-2,
449.00,2.85840724E-2,
450.00,2.90785469E-2,
451.00,2.95790508E-2,
452.00,3.00855450E-2,
453.00,3.05979718E-2,
454.00,3.11162677E-2,
455.00,3.16403806E-2,
456.00,3.21702398E-2,
457.00,3.27057764E-2,
458.00,3.32469381E-2,
459.00,3.37936543E-2,
460.00,3.43458503E-2,
461.00,3.49034965E-2,
462.00,3.54666114E-2,
463.00,3.60352509E-2,
464.00,3.66094671E-2,
465.00,3.71893123E-2,
466.00,3.77748273E-2,
467.00,3.83660831E-2,
468.00,3.89631093E-2,
469.00,3.95659655E-2,
470.00,4.01746966E-2,
471.00,4.07893732E-2,
472.00,4.14101444E-2,
473.00,4.20371704E-2,
474.00,4.26706225E-2,
475.00,4.33106758E-2,
476.00,4.39574979E-2,
477.00,4.46112528E-2,
478.00,4.52721119E-2,
479.00,4.59402464E-2,
480.00,4.66158055E-2,
481.00,4.72989455E-2,
482.00,4.79896441E-2,
483.00,4.86878380E-2,
484.00,4.93934713E-2,
485.00,5.01064919E-2,
486.00,5.08268513E-2,
487.00,5.15544936E-2,
488.00,5.22893630E-2,
489.00,5.30314073E-2,
490.00,5.37805669E-2,
491.00,5.45367897E-2,
492.00,5.53000234E-2,
493.00,5.60702346E-2,
494.00,5.68473600E-2,
495.00,5.76313436E-2,
496.00,5.84221333E-2,
497.00,5.92196845E-2,
498.00,6.00239448E-2,
499.00,6.08348586E-2,
500.00,6.16523735E-2,
501.00,6.24764115E-2,
502.00,6.33068010E-2,
503.00,6.41433001E-2,
504.00,6.49857521E-2,
505.00,6.58338964E-2,
506.00,6.66875392E-2,
507.00,6.75464720E-2,
508.00,6.84104860E-2,
509.00,6.92793503E-2,
510.00,7.01528862E-2,
511.00,7.10309148E-2,
512.00,7.19136372E-2,
513.00,7.28012547E-2,
514.00,7.36940205E-2,
515.00,7.45921880E-2,
516.00,7.54959509E-2,
517.00,7.64055848E-2,
518.00,7.73213059E-2,
519.00,7.82433674E-2,
520.00,7.91719854E-2,
521.00,8.01073909E-2,
522.00,8.10496286E-2,
523.00,8.19987133E-2,
524.00,8.29546899E-2,
525.00,8.39175433E-2,
526.00,8.48873407E-2,
527.00,8.58640745E-2,
528.00,8.68477598E-2,
529.00,8.78384337E-2,
530.00,8.88360962E-2,
531.00,8.98407847E-2,
532.00,9.08524171E-2,
533.00,9.18709487E-2,
534.00,9.28963423E-2,
535.00,9.39285234E-2,
536.00,9.49674472E-2,
537.00,9.60130468E-2,
538.00,9.70652774E-2,
539.00,9.81240943E-2,
540.00,9.91894156E-2,
541.00,1.00261174E-1,
542.00,1.01339072E-1,
543.00,1.02422863E-1,
544.00,1.03512175E-1,
545.00,1.04606770E-1,
546.00,1.05706297E-1,
547.00,1.06810443E-1,
548.00,1.07918940E-1,
549.00,1.09031446E-1,
550.00,1.10147677E-1,
551.00,1.11267418E-1,
552.00,1.12390794E-1,
553.00,1.13518037E-1,
554.00,1.14649378E-1,
555.00,1.15785062E-1,
556.00,1.16925292E-1,
557.00,1.18070327E-1,
558.00,1.19220376E-1,
559.00,1.20375685E-1,
560.00,1.21536463E-1,
561.00,1.22702993E-1,
562.00,1.23875558E-1,
563.00,1.25054553E-1,
564.00,1.26240268E-1,
565.00,1.27433077E-1,
566.00,1.28633261E-1,
567.00,1.29841179E-1,
568.00,1.31057173E-1,
569.00,1.32281587E-1,
570.00,1.33514732E-1,
571.00,1.34756878E-1,
572.00,1.36007860E-1,
573.00,1.37267515E-1,
574.00,1.38535634E-1,
575.00,1.39812022E-1,
576.00,1.41096398E-1,
577.00,1.42388642E-1,
578.00,1.43688515E-1,
579.00,1.44995824E-1,
580.00,1.46310344E-1,
581.00,1.47631824E-1,
582.00,1.48959756E-1,
583.00,1.50293529E-1,
584.00,1.51632622E-1,
585.00,1.52976453E-1,
586.00,1.54324412E-1,
587.00,1.55676022E-1,
588.00,1.57030612E-1,
589.00,1.58387676E-1,
590.00,1.59746632E-1,
591.00,1.61107078E-1,
592.00,1.62469149E-1,
593.00,1.63833201E-1,
594.00,1.65199593E-1,
595.00,1.66568607E-1,
596.00,1.67940602E-1,
597.00,1.69315904E-1,
598.00,1.70694828E-1,
599.00,1.72077760E-1,
600.00,1.73464984E-1,
601.00,1.74856812E-1,
602.00,1.76253334E-1,
603.00,1.77654594E-1,
604.00,1.79060608E-1,
605.00,1.80471450E-1,
606.00,1.81887209E-1,
607.00,1.83307871E-1,
608.00,1.84733510E-1,
609.00,1.86164171E-1,
610.00,1.87599853E-1,
611.00,1.89040616E-1,
612.00,1.90486401E-1,
613.00,1.91937000E-1,
614.00,1.93392366E-1,
615.00,1.94852307E-1,
616.00,1.96316749E-1,
617.00,1.97785571E-1,
618.00,1.99258626E-1,
619.00,2.00735807E-1,
620.00,2.02216968E-1,
621.00,2.03701988E-1,
622.00,2.05190673E-1,
623.00,2.06682771E-1,
624.00,2.08178043E-1,
625.00,2.09676325E-1,
626.00,2.11177304E-1,
627.00,2.12680846E-1,
628.00,2.14186653E-1,
629.00,2.15694562E-1,
630.00,2.17204332E-1,
631.00,2.18715742E-1,
632.00,2.20228598E-1,
633.00,2.21742705E-1,
634.00,2.23257869E-1,
635.00,2.24773884E-1,
636.00,2.26290613E-1,
637.00,2.27807775E-1,
638.00,2.29325205E-1,
639.00,2.30842665E-1,
640.00,2.32360005E-1,
641.00,2.33877108E-1,
642.00,2.35394195E-1,
643.00,2.36911446E-1,
644.00,2.38429204E-1,
645.00,2.39947647E-1,
646.00,2.41467148E-1,
647.00,2.42987871E-1,
648.00,2.44510040E-1,
649.00,2.46033967E-1,
650.00,2.47559920E-1,
651.00,2.49088138E-1,
652.00,2.50618637E-1,
653.00,2.52151430E-1,
654.00,2.53686577E-1,
655.00,2.55224168E-1,
656.00,2.56764203E-1,
657.00,2.58306712E-1,
658.00,2.59851724E-1,
659.00,2.61399388E-1,
660.00,2.62949735E-1,
661.00,2.64503032E-1,
662.00,2.66059905E-1,
663.00,2.67621428E-1,
664.00,2.69188404E-1,
665.00,2.70761818E-1,
666.00,2.72342563E-1,
667.00,2.73931593E-1,
668.00,2.75529653E-1,
669.00,2.77137816E-1,
670.00,2.78756976E-1,
671.00,2.80387729E-1,
672.00,2.82030165E-1,
673.00,2.83684283E-1,
674.00,2.85349786E-1,
675.00,2.87026644E-1,
676.00,2.88714796E-1,
677.00,2.90414155E-1,
678.00,2.92124569E-1,
679.00,2.93845892E-1,
680.00,2.95578092E-1,
681.00,2.97320873E-1,
682.00,2.99074054E-1,
683.00,3.00837249E-1,
684.00,3.02610219E-1,
685.00,3.04392457E-1,
686.00,3.06183636E-1,
687.00,3.07983458E-1,
688.00,3.09791386E-1,
689.00,3.11607152E-1,
690.00,3.13430369E-1,
691.00,3.15260649E-1,
692.00,3.17098022E-1,
693.00,3.18942368E-1,
694.00,3.20793569E-1,
695.00,3.22651654E-1,
696.00,3.24516505E-1,
697.00,3.26388001E-1,
698.00,3.28265965E-1,
699.00,3.30150455E-1,
700.00,3.32041055E-1,
701.00,3.33937794E-1,
702.00,3.35841149E-1,
703.00,3.37751746E-1,
704.00,3.39670122E-1,
705.00,3.41597050E-1,
706.00,3.43532950E-1,
707.00,3.45478535E-1,
708.00,3.47434461E-1,
709.00,3.49401236E-1,
710.00,3.51379514E-1,
711.00,3.53369713E-1,
712.00,3.55371147E-1,
713.00,3.57382745E-1,
714.00,3.59403610E-1,
715.00,3.61432791E-1,
716.00,3.63469243E-1,
717.00,3.65511924E-1,
718.00,3.67559791E-1,
719.00,3.69611740E-1,
720.00,3.71666789E-1,
721.00,3.73724043E-1,
722.00,3.75782937E-1,
723.00,3.77843261E-1,
724.00,3.79904658E-1,
725.00,3.81966829E-1,
726.00,3.84029359E-1,
727.00,3.86092007E-1,
728.00,3.88154477E-1,
729.00,3.90216380E-1,
730.00,3.92277420E-1,
731.00,3.94337207E-1,
732.00,3.96395296E-1,
733.00,3.98451358E-1,
734.00,4.00504977E-1,
735.00,4.02555674E-1,
736.00,4.04603362E-1,
737.00,4.06647593E-1,
738.00,4.08688009E-1,
739.00,4.10724401E-1,
740.00,4.12756354E-1,
741.00,4.14783746E-1,
742.00,4.16806072E-1,
743.00,4.18822944E-1,
744.00,4.20833975E-1,
745.00,4.22838718E-1,
746.00,4.24836874E-1,
747.00,4.26827878E-1,
748.00,4.28811312E-1,
749.00,4.30786729E-1,
750.00,4.32753801E-1,
751.00,4.34712142E-1,
752.00,4.36661899E-1,
753.00,4.38603312E-1,
754.00,4.40536618E-1,
755.00,4.42461997E-1,
756.00,4.44379747E-1,
757.00,4.46290016E-1,
758.00,4.48193222E-1,
759.00,4.50089604E-1,
760.00,4.51979458E-1,
761.00,4.53863323E-1,
762.00,4.55741882E-1,
763.00,4.57615703E-1,
764.00,4.59485888E-1,
765.00,4.61353183E-1,
766.00,4.63218123E-1,
767.00,4.65081722E-1,
768.00,4.66944724E-1,
769.00,4.68807876E-1,
770.00,4.70671922E-1,
771.00,4.72537488E-1,
772.00,4.74404514E-1,
773.00,4.76272732E-1,
774.00,4.78142053E-1,
775.00,4.80012178E-1,
776.00,4.81883019E-1,
777.00,4.83754367E-1,
778.00,4.85626072E-1,
779.00,4.87498075E-1,
780.00,4.89370167E-1,
781.00,4.91242319E-1,
782.00,4.93114144E-1,
783.00,4.94985312E-1,
784.00,4.96855497E-1,
785.00,4.98724520E-1,
786.00,5.00592053E-1,
787.00,5.02457678E-1,
788.00,5.04321277E-1,
789.00,5.06182432E-1,
790.00,5.08040845E-1,
791.00,5.09896100E-1,
792.00,5.11747062E-1,
793.00,5.13592243E-1,
794.00,5.15430272E-1,
795.00,5.17259955E-1,
796.00,5.19079983E-1,
797.00,5.20889044E-1,
798.00,5.22686064E-1,
799.00,5.24469674E-1,
800.00,5.26238680E-1,
801.00,5.27992129E-1,
802.00,5.29730856E-1,
803.00,5.31455994E-1,
804.00,5.33168554E-1,
805.00,5.34869790E-1,
806.00,5.36560595E-1,
807.00,5.38242221E-1,
808.00,5.39915323E-1,
809.00,5.41581213E-1,
810.00,5.43240666E-1,
811.00,5.44894993E-1,
812.00,5.46544671E-1,
813.00,5.48190296E-1,
814.00,5.49832761E-1,
815.00,5.51472604E-1,
816.00,5.53110480E-1,
817.00,5.54746866E-1,
818.00,5.56382239E-1,
819.00,5.58017433E-1,
820.00,5.59652865E-1,
821.00,5.61288893E-1,
822.00,5.62925816E-1,
823.00,5.64563572E-1,
824.00,5.66202044E-1,
825.00,5.67841470E-1,
826.00,5.69481790E-1,
827.00,5.71123123E-1,
828.00,5.72765708E-1,
829.00,5.74409366E-1,
830.00,5.76054454E-1,
831.00,5.77700734E-1,
832.00,5.79348445E-1,
833.00,5.80997288E-1,
834.00,5.82647085E-1,
835.00,5.84297836E-1,
836.00,5.85949123E-1,
837.00,5.87601006E-1,
838.00,5.89253426E-1,
839.00,5.90906024E-1,
840.00,5.92558801E-1,
841.00,5.94211519E-1,
842.00,5.95864117E-1,
843.00,5.97516239E-1,
844.00,5.99167585E-1,
845.00,6.00818217E-1,
846.00,6.02467597E-1,
847.00,6.04115725E-1,
848.00,6.05762124E-1,
849.00,6.07406676E-1,
850.00,6.09048843E-1,
851.00,6.10686839E-1,
852.00,6.12322450E-1,
853.00,6.13955677E-1,
854.00,6.15586400E-1,
855.00,6.17214441E-1,
856.00,6.18839800E-1,
857.00,6.20462596E-1,
858.00,6.22082531E-1,
859.00,6.23699725E-1,
860.00,6.25314057E-1,
861.00,6.26925647E-1,
862.00,6.28534377E-1,
863.00,6.30140483E-1,
864.00,6.31743789E-1,
865.00,6.33344412E-1,
866.00,6.34942293E-1,
867.00,6.36537492E-1,
868.00,6.38129830E-1,
869.00,6.39719367E-1,
870.00,6.41306162E-1,
871.00,6.42890096E-1,
872.00,6.44470990E-1,
873.00,6.46048903E-1,
874.00,6.47623718E-1,
875.00,6.49195433E-1,
876.00,6.50763750E-1,
877.00,6.52328908E-1,
878.00,6.53890610E-1,
879.00,6.55448794E-1,
880.00,6.57003582E-1,
881.00,6.58554673E-1,
882.00,6.60102367E-1,
883.00,6.61646485E-1,
884.00,6.63187265E-1,
885.00,6.64724529E-1,
886.00,6.66258454E-1,
887.00,6.67788804E-1,
888.00,6.69315696E-1,
889.00,6.70838892E-1,
890.00,6.72358274E-1,
891.00,6.73873961E-1,
892.00,6.75385594E-1,
893.00,6.76893353E-1,
894.00,6.78397000E-1,
895.00,6.79896772E-1,
896.00,6.81392372E-1,
897.00,6.82884216E-1,
898.00,6.84372246E-1,
899.00,6.85856462E-1,
900.00,6.87336922E-1,
901.00,6.88813627E-1,
902.00,6.90286696E-1,
903.00,6.91756308E-1,
904.00,6.93222463E-1,
905.00,6.94685161E-1,
906.00,6.96144521E-1,
907.00,6.97600722E-1,
908.00,6.99053705E-1,
909.00,7.00503826E-1,
910.00,7.01950848E-1,
911.00,7.03395069E-1,
912.00,7.04836369E-1,
913.00,7.06274986E-1,
914.00,7.07710922E-1,
915.00,7.09144235E-1,
916.00,7.10574746E-1,
917.00,7.12002695E-1,
918.00,7.13428080E-1,
919.00,7.14850962E-1,
920.00,7.16271281E-1,
921.00,7.17689276E-1,
922.00,7.19105005E-1,
923.00,7.20518470E-1,
924.00,7.21929610E-1,
925.00,7.23338604E-1,
926.00,7.24745333E-1,
927.00,7.26149917E-1,
928.00,7.27552354E-1,
929.00,7.28952587E-1,
930.00,7.30350673E-1,
931.00,7.31746674E-1,
932.00,7.33140588E-1,
933.00,7.34532297E-1,
934.00,7.35921800E-1,
935.00,7.37309217E-1,
936.00,7.38694370E-1,
937.00,7.40077257E-1,
938.00,7.41457939E-1,
939.00,7.42836177E-1,
940.00,7.44212031E-1,
941.00,7.45585442E-1,
942.00,7.46956468E-1,
943.00,7.48324811E-1,
944.00,7.49690831E-1,
945.00,7.51054227E-1,
946.00,7.52414942E-1,
947.00,7.53772736E-1,
948.00,7.55127549E-1,
949.00,7.56479383E-1,
950.00,7.57827997E-1,
951.00,7.59173274E-1,
952.00,7.60515034E-1,
953.00,7.61853337E-1,
954.00,7.63187885E-1,
955.00,7.64518857E-1,
956.00,7.65845954E-1,
957.00,7.67169058E-1,
958.00,7.68488228E-1,
959.00,7.69803405E-1,
960.00,7.71114409E-1,
961.00,7.72421181E-1,
962.00,7.73723602E-1,
963.00,7.75021851E-1,
964.00,7.76315629E-1,
965.00,7.77604938E-1,
966.00,7.78889835E-1,
967.00,7.80170202E-1,
968.00,7.81446099E-1,
969.00,7.82717347E-1,
970.00,7.83984303E-1,
971.00,7.85246611E-1,
972.00,7.86504507E-1,
973.00,7.87757933E-1,
974.00,7.89006829E-1,
975.00,7.90251255E-1,
976.00,7.91491032E-1,
977.00,7.92726636E-1,
978.00,7.93957829E-1,
979.00,7.95184910E-1,
980.00,7.96407759E-1,
981.00,7.97626913E-1,
982.00,7.98842192E-1,
983.00,8.00053716E-1,
984.00,8.01261663E-1,
985.00,8.02466154E-1,
986.00,8.03667188E-1,
987.00,8.04864824E-1,
988.00,8.06059182E-1,
989.00,8.07250142E-1,
990.00,8.08437943E-1,
991.00,8.09622705E-1,
992.00,8.10804248E-1,
993.00,8.11982691E-1,
994.00,8.13158274E-1,
995.00,8.14330518E-1,
996.00,8.15499902E-1,
997.00,8.16666067E-1,
998.00,8.17829490E-1,
999.00,8.18989575E-1,
1000.00,8.20146620E-1,
1001.000,8.21300685E-1,
1002.000,8.22451532E-1,
1003.000,8.23599041E-1,
1004.000,8.24743152E-1,
1005.000,8.25883627E-1,
1006.000,8.27020466E-1,
1007.000,8.28153372E-1,
1008.000,8.29282522E-1,
1009.000,8.30407381E-1,
1010.00,8.31527948E-1,
1011.000,8.32644343E-1,
1012.000,8.33756208E-1,
1013.000,8.34863603E-1,
1014.000,8.35966289E-1,
1015.000,8.37064385E-1,
1016.000,8.38157356E-1,
1017.000,8.39245677E-1,
1018.000,8.40328932E-1,
1019.000,8.41407239E-1,
1020.00,8.42480779E-1,
1021.000,8.43549252E-1,
1022.000,8.44612777E-1,
1023.000,8.45671177E-1,
1024.000,8.46724868E-1,
1025.000,8.47773612E-1,
1026.000,8.48817348E-1,
1027.000,8.49856138E-1,
1028.000,8.50890219E-1,
1029.000,8.51919234E-1,
1030.00,8.52943480E-1,
1031.000,8.53962779E-1,
1032.000,8.54977429E-1,
1033.000,8.55987072E-1,
1034.000,8.56992006E-1,
1035.000,8.57992053E-1,
1036.000,8.58987272E-1,
1037.000,8.59977901E-1,
1038.000,8.60963404E-1,
1039.000,8.61944139E-1,
1040.00,8.62920165E-1,
1041.000,8.63891244E-1,
1042.000,8.64857256E-1,
1043.000,8.65818501E-1,
1044.000,8.66774738E-1,
1045.000,8.67726207E-1,
1046.000,8.68672669E-1,
1047.000,8.69614124E-1,
1048.000,8.70550752E-1,
1049.000,8.71482551E-1,
1050.00,8.72409463E-1,
1051.000,8.73331666E-1,
1052.000,8.74249220E-1,
1053.000,8.75162005E-1,
1054.000,8.76070321E-1,
1055.000,8.76973927E-1,
1056.000,8.77873182E-1,
1057.000,8.78768086E-1,
1058.000,8.79658341E-1,
1059.000,8.80544543E-1,
1060.00,8.81426275E-1,
1061.000,8.82303715E-1,
1062.000,8.83177042E-1,
1063.000,8.84046018E-1,
1064.000,8.84910762E-1,
1065.000,8.85771334E-1,
1066.000,8.86627674E-1,
1067.000,8.87479722E-1,
1068.000,8.88327718E-1,
1069.000,8.89171362E-1,
1070.00,8.90011013E-1,
1071.000,8.90846491E-1,
1072.000,8.91677678E-1,
1073.000,8.92504752E-1,
1074.000,8.93327713E-1,
1075.000,8.94146681E-1,
1076.000,8.94961298E-1,
1077.000,8.95771682E-1,
1078.000,8.96577954E-1,
1079.000,8.97379875E-1,
1080.00,8.98177564E-1,
1081.000,8.98970902E-1,
1082.000,8.99759948E-1,
1083.000,9.00544763E-1,
1084.000,9.01325226E-1,
1085.000,9.02101398E-1,
1086.000,9.02873337E-1,
1087.000,9.03640926E-1,
1088.000,9.04404283E-1,
1089.000,9.05163348E-1,
1090.00,9.05918241E-1,
1091.000,9.06668663E-1,
1092.000,9.07414794E-1,
1093.000,9.08156633E-1,
1094.000,9.08894002E-1,
1095.000,9.09626961E-1,
1096.000,9.10355449E-1,
1097.000,9.11079466E-1,
1098.000,9.11798954E-1,
1099.000,9.12513793E-1,
1100.00,9.13224220E-1,
1101.000,9.13930237E-1,
1102.000,9.14631724E-1,
1103.000,9.15328860E-1,
1104.000,9.16021824E-1,
1105.000,9.16710377E-1,
1106.000,9.17394876E-1,
1107.000,9.18075025E-1,
1108.000,9.18751180E-1,
1109.000,9.19423103E-1,
1110.00,9.20091033E-1,
1111.000,9.20754552E-1,
1112.000,9.21413958E-1,
1113.000,9.22069252E-1,
1114.000,9.22720373E-1,
1115.000,9.23367321E-1,
1116.000,9.24009681E-1,
1117.000,9.24648106E-1,
1118.000,9.25282121E-1,
1119.000,9.25911784E-1,
1120.00,9.26537216E-1,
1121.000,9.27158296E-1,
1122.000,9.27774966E-1,
1123.000,9.28387284E-1,
1124.000,9.28995252E-1,
1125.000,9.29599047E-1,
1126.000,9.30198669E-1,
1127.000,9.30794179E-1,
1128.000,9.31385458E-1,
1129.000,9.31972623E-1,
1130.00,9.32556033E-1,
1131.000,9.33135390E-1,
1132.000,9.33711171E-1,
1133.000,9.34283137E-1,
1134.000,9.34851587E-1,
1135.000,9.35416400E-1,
1136.000,9.35977519E-1,
1137.000,9.36534941E-1,
1138.000,9.37089145E-1,
1139.000,9.37639654E-1,
1140.00,9.38186765E-1,
1141.000,9.38730478E-1,
1142.000,9.39270794E-1,
1143.000,9.39807832E-1,
1144.000,9.40341413E-1,
1145.000,9.40871656E-1,
1146.000,9.41398561E-1,
1147.000,9.41922069E-1,
1148.000,9.42442238E-1,
1149.000,9.42959130E-1,
1150.00,9.43472624E-1,
1151.000,9.43982780E-1,
1152.000,9.44489658E-1,
1153.000,9.44992959E-1,
1154.000,9.45493042E-1,
1155.000,9.45989549E-1,
1156.000,9.46482539E-1,
1157.000,9.46972132E-1,
1158.000,9.47458148E-1,
1159.000,9.47940767E-1,
1160.00,9.48419988E-1,
1161.000,9.48895574E-1,
1162.000,9.49367642E-1,
1163.000,9.49836314E-1,
1164.000,9.50301468E-1,
1165.000,9.50762987E-1,
1166.000,9.51220810E-1,
1167.000,9.51674938E-1,
1168.000,9.52125311E-1,
1169.000,9.52571929E-1,
1170.00,9.53014493E-1,
1171.000,9.53453124E-1,
1172.000,9.53887701E-1,
1173.000,9.54318404E-1,
1174.000,9.54744875E-1,
1175.000,9.55167174E-1,
1176.000,9.55584943E-1,
1177.000,9.55998600E-1,
1178.000,9.56407785E-1,
1179.000,9.56812501E-1,
1180.00,9.57212985E-1,
1181.000,9.57609117E-1,
1182.000,9.58001077E-1,
1183.000,9.58388984E-1,
1184.000,9.58772600E-1,
1185.000,9.59152162E-1,
1186.000,9.59527433E-1,
1187.000,9.59898710E-1,
1188.000,9.60265815E-1,
1189.000,9.60629046E-1,
1190.00,9.60988045E-1,
1191.000,9.61343288E-1,
1192.000,9.61694479E-1,
1193.000,9.62041736E-1,
1194.000,9.62385416E-1,
1195.000,9.62725222E-1,
1196.000,9.63061392E-1,
1197.000,9.63394046E-1,
1198.000,9.63723302E-1,
1199.000,9.64049101E-1,
1200.00,9.64371562E-1,
1201.000,9.64691162E-1,
1202.000,9.65007722E-1,
1203.000,9.65321422E-1,
1204.000,9.65632379E-1,
1205.000,9.65940535E-1,
1206.000,9.66246188E-1,
1207.000,9.66549277E-1,
1208.000,9.66849744E-1,
1209.000,9.67147887E-1,
1210.00,9.67443705E-1,
1211.000,9.67737019E-1,
1212.000,9.68028188E-1,
1213.000,9.68317211E-1,
1214.000,9.68603849E-1,
1215.000,9.68888521E-1,
1216.000,9.69171047E-1,
1217.000,9.69451487E-1,
1218.000,9.69729781E-1,
1219.000,9.70006049E-1,
1220.00,9.70280111E-1,
1221.000,9.70551789E-1,
1222.000,9.70821202E-1,
1223.000,9.71088231E-1,
1224.000,9.71353114E-1,
1225.000,9.71615434E-1,
1226.000,9.71875370E-1,
1227.000,9.72132921E-1,
1228.000,9.72388029E-1,
1229.000,9.72640514E-1,
1230.00,9.72890496E-1,
1231.000,9.73137617E-1,
1232.000,9.73381996E-1,
1233.000,9.73623812E-1,
1234.000,9.73862529E-1,
1235.000,9.74098504E-1,
1236.000,9.74331558E-1,
1237.000,9.74561691E-1,
1238.000,9.74789083E-1,
1239.000,9.75013435E-1,
1240.00,9.75234985E-1,
1241.000,9.75453615E-1,
1242.000,9.75669324E-1,
1243.000,9.75882292E-1,
1244.000,9.76092517E-1,
1245.000,9.76299882E-1,
1246.000,9.76504564E-1,
1247.000,9.76706624E-1,
1248.000,9.76906180E-1,
1249.000,9.77103055E-1,
1250.00,9.77297723E-1,
1251.000,9.77489769E-1,
1252.000,9.77679729E-1,
1253.000,9.77867365E-1,
1254.000,9.78052855E-1,
1255.000,9.78236258E-1,
1256.000,9.78417516E-1,
1257.000,9.78596807E-1,
1258.000,9.78774011E-1,
1259.000,9.78949428E-1,
1260.00,9.79122877E-1,
1261.000,9.79294181E-1,
1262.000,9.79463696E-1,
1263.000,9.79631186E-1,
1264.000,9.79796588E-1,
1265.000,9.79960382E-1,
1266.000,9.80121851E-1,
1267.000,9.80281591E-1,
1268.000,9.80439425E-1,
1269.000,9.80595648E-1,
1270.00,9.80749667E-1,
1271.000,9.80901957E-1,
1272.000,9.81052518E-1,
1273.000,9.81201231E-1,
1274.000,9.81348217E-1,
1275.000,9.81493473E-1,
1276.000,9.81637180E-1,
